"filename", "language", "Markdown", "ARM", "JSON", "comment", "blank", "total"
"d:\School\CS2810\LC3_Project\.VSCodeCounter\2022-04-14_21-51-39\details.md", "Markdown", 10, 0, 0, 0, 6, 16
"d:\School\CS2810\LC3_Project\.VSCodeCounter\2022-04-14_21-51-39\diff-details.md", "Markdown", 9, 0, 0, 0, 6, 15
"d:\School\CS2810\LC3_Project\.VSCodeCounter\2022-04-14_21-51-39\diff.md", "Markdown", 12, 0, 0, 0, 7, 19
"d:\School\CS2810\LC3_Project\.VSCodeCounter\2022-04-14_21-51-39\results.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\School\CS2810\LC3_Project\.VSCodeCounter\2022-04-14_21-51-39\results.md", "Markdown", 14, 0, 0, 0, 7, 21
"d:\School\CS2810\LC3_Project\main.asm", "ARM", 0, 654, 0, 0, 198, 852
"Total", "-", 45, 654, 1, 0, 224, 924
